smiles,reaction_energy
Nc1cc(N)cc(c12)C(=O)CC2=O,0.03241
Nc1ccc(N)c(c12)C(=O)CC2=O,0.03633
Nc1cccc(c12)C(=O)CC2=O,0.02451
c1c(N)c(N)cc(c12)C(=O)CC2=O,0.03607
c1c(N)ccc(c12)C(=O)CC2=O,0.02564
Oc1c(O)c(O)c(O)c(c12)C(=O)CC2=O,0.03338
Oc1c(O)c(O)cc(c12)C(=O)CC2=O,0.03002
Oc1c(O)cc(O)c(c12)C(=O)CC2=O,0.03195
Oc1c(O)ccc(c12)C(=O)CC2=O,0.02563
Oc1cc(O)cc(c12)C(=O)CC2=O,0.02481
Oc1ccc(O)c(c12)C(=O)CC2=O,0.02427
Oc1cccc(c12)C(=O)CC2=O,0.02066
c1c(O)c(O)cc(c12)C(=O)CC2=O,0.02327
c1c(O)ccc(c12)C(=O)CC2=O,0.02036
O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c(c12)C(=O)CC2=O,-0.04466
O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)cc(c12)C(=O)CC2=O,-0.01729
O=S(=O)(O)c1c(S(=O)(=O)O)cc(S(=O)(=O)O)c(c12)C(=O)CC2=O,-0.00682
O=S(=O)(O)c1c(S(=O)(=O)O)ccc(c12)C(=O)CC2=O,-0.00158
O=S(=O)(O)c1cc(S(=O)(=O)O)cc(c12)C(=O)CC2=O,-0.00451
O=S(=O)(O)c1ccc(S(=O)(=O)O)c(c12)C(=O)CC2=O,0.00298
O=S(=O)(O)c1cccc(c12)C(=O)CC2=O,0.00879
O=S(=O)(O)c(c1)c(S(=O)(=O)O)cc(c12)C(=O)CC2=O,-0.01206
O=S(=O)(O)c(c1)ccc(c12)C(=O)CC2=O,0.00307
O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(c12)C(=O)NC2=O,-0.01038
O=C(O)c1c(C(=O)O)c(C(=O)O)cc(c12)C(=O)NC2=O,-0.0012
O=C(O)c1c(C(=O)O)cc(C(=O)O)c(c12)C(=O)NC2=O,-0.00421
O=C(O)c1c(C(=O)O)ccc(c12)C(=O)NC2=O,0.00042
O=C(O)c1cc(C(=O)O)cc(c12)C(=O)NC2=O,-0.00468
O=C(O)c1ccc(C(=O)O)c(c12)C(=O)NC2=O,0.00456
O=C(O)c1cccc(c12)C(=O)NC2=O,0.00594
O=C(O)c(c1)c(C(=O)O)cc(c12)C(=O)NC2=O,-0.0027
O=C(O)c(c1)ccc(c12)C(=O)NC2=O,0.01009
c1cccc(c12)C(=O)NC2=O,0.02191
Fc1c(F)c(F)c(F)c(c12)C(=O)NC2=O,0.01075
Fc1c(F)c(F)cc(c12)C(=O)NC2=O,0.01559
Fc1c(F)cc(F)c(c12)C(=O)NC2=O,0.0114
Fc1c(F)ccc(c12)C(=O)NC2=O,0.01607
Fc1cc(F)cc(c12)C(=O)NC2=O,0.01526
Fc1ccc(F)c(c12)C(=O)NC2=O,0.01225
Fc1cccc(c12)C(=O)NC2=O,0.01689
c1c(F)c(F)cc(c12)C(=O)NC2=O,0.01814
c1c(F)ccc(c12)C(=O)NC2=O,0.01985
Nc1c(N)c(N)c(N)c(c12)C(=O)NC2=O,0.04813
Nc1c(N)c(N)cc(c12)C(=O)NC2=O,0.04089
Nc1c(N)cc(N)c(c12)C(=O)NC2=O,0.048
Nc1c(N)ccc(c12)C(=O)NC2=O,0.03757
Nc1cc(N)cc(c12)C(=O)NC2=O,0.03712
Nc1ccc(N)c(c12)C(=O)NC2=O,0.04653
Nc1cccc(c12)C(=O)NC2=O,0.03258
c1c(N)c(N)cc(c12)C(=O)NC2=O,0.0349
c1c(N)ccc(c12)C(=O)NC2=O,0.03079
Oc1c(O)c(O)c(O)c(c12)C(=O)NC2=O,0.03743
Oc1c(O)c(O)cc(c12)C(=O)NC2=O,0.03157
Oc1c(O)cc(O)c(c12)C(=O)NC2=O,0.03575
Oc1c(O)ccc(c12)C(=O)NC2=O,0.02944
Oc1cc(O)cc(c12)C(=O)NC2=O,0.03086
Oc1ccc(O)c(c12)C(=O)NC2=O,0.02912
Oc1cccc(c12)C(=O)NC2=O,0.02323
c1c(O)c(O)cc(c12)C(=O)NC2=O,0.03042
c1c(O)ccc(c12)C(=O)NC2=O,0.02609
O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c(c12)C(=O)NC2=O,-0.03156
O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)cc(c12)C(=O)NC2=O,-0.01457
O=S(=O)(O)c1c(S(=O)(=O)O)cc(S(=O)(=O)O)c(c12)C(=O)NC2=O,-0.00991
O=S(=O)(O)c1c(S(=O)(=O)O)ccc(c12)C(=O)NC2=O,0.0004
O=S(=O)(O)c1cc(S(=O)(=O)O)cc(c12)C(=O)NC2=O,-0.00195
O=S(=O)(O)c1ccc(S(=O)(=O)O)c(c12)C(=O)NC2=O,0.00217
O=S(=O)(O)c1cccc(c12)C(=O)NC2=O,0.0118
O=S(=O)(O)c(c1)c(S(=O)(=O)O)cc(c12)C(=O)NC2=O,-0.00671
O=S(=O)(O)c(c1)ccc(c12)C(=O)NC2=O,0.00887
O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(c12)C(=O)SC2=O,-0.04093
O=C(O)c1c(C(=O)O)c(C(=O)O)cc(c12)C(=O)SC2=O,-0.02929
O=C(O)c1c(C(=O)O)cc(C(=O)O)c(c12)C(=O)SC2=O,-0.02038
O=C(O)c1c(C(=O)O)ccc(c12)C(=O)SC2=O,-0.01308
O=C(O)c1cc(C(=O)O)cc(c12)C(=O)SC2=O,-0.02132
O=C(O)c1ccc(C(=O)O)c(c12)C(=O)SC2=O,-0.01266
O=C(O)c1cccc(c12)C(=O)SC2=O,-0.00586
O=C(O)c(c1)c(C(=O)O)cc(c12)C(=O)SC2=O,-0.01271
O=C(O)c(c1)ccc(c12)C(=O)SC2=O,-0.00388
c1cccc(c12)C(=O)SC2=O,0.01137
Fc1c(F)c(F)c(F)c(c12)C(=O)SC2=O,0.00359
Fc1c(F)c(F)cc(c12)C(=O)SC2=O,0.00534
Fc1c(F)cc(F)c(c12)C(=O)SC2=O,0.00411
Fc1c(F)ccc(c12)C(=O)SC2=O,0.00739
Fc1cc(F)cc(c12)C(=O)SC2=O,0.00592
